Date, Open, High, Low, Close
03/16/23, 31827.65, 32281.61, 31571.46, 32246.55
03/15/23, 31759.87, 31906.47, 31429.82, 31874.57
03/14/23, 32055.29, 32306.59, 31805.40, 32155.40
03/13/23, 31819.93, 32240.35, 31624.87, 31819.14
03/10/23, 32185.14, 32422.10, 31783.41, 31909.64
03/09/23, 32876.83, 32990.46, 32190.60, 32254.86
03/08/23, 32872.08, 32903.44, 32612.70, 32798.40
03/07/23, 33428.31, 33453.25, 32838.21, 32856.46
03/06/23, 33425.32, 33572.22, 33383.47, 33431.44
03/03/23, 33076.33, 33405.82, 33008.41, 33390.97
03/02/23, 32780.97, 33083.45, 32665.85, 33003.57
03/01/23, 32656.37, 32746.15, 32500.71, 32661.84
02/28/23, 32873.47, 32873.47, 32636.43, 32656.70
02/27/23, 32906.16, 33189.28, 32814.18, 32889.09
02/24/23, 32999.19, 32999.19, 32643.48, 32816.92
02/23/23, 33175.39, 33272.40, 32795.67, 33153.91
02/22/23, 33169.33, 33245.97, 32948.27, 33045.09
02/21/23, 33699.69, 33699.69, 33115.74, 33129.59
02/17/23, 33677.01, 33846.64, 33517.73, 33826.69
02/16/23, 33992.09, 34041.16, 33686.59, 33696.85
02/15/23, 34008.63, 34130.49, 33833.10, 34128.05
02/14/23, 34194.09, 34331.47, 33827.45, 34089.27
02/13/23, 33887.39, 34249.60, 33887.39, 34245.93
02/10/23, 33671.54, 33897.31, 33591.99, 33869.27
02/09/23, 34105.61, 34252.57, 33607.13, 33699.88
02/08/23, 34132.90, 34161.65, 33899.79, 33949.01
02/07/23, 33769.78, 34240.00, 33634.10, 34156.69
02/06/23, 33874.44, 33962.84, 33683.58, 33891.02
02/03/23, 33926.30, 34179.58, 33813.86, 33926.01
02/02/23, 34129.30, 34145.14, 33814.78, 34053.94
02/01/23, 34039.60, 34334.70, 33581.42, 34092.96
01/31/23, 33803.56, 34095.23, 33664.91, 34086.04
01/30/23, 33909.21, 34055.29, 33695.18, 33717.09
01/27/23, 33952.93, 34164.33, 33830.85, 33978.08
01/26/23, 33771.66, 33953.79, 33635.60, 33949.41
01/25/23, 33538.36, 33773.09, 33273.21, 33743.84
01/24/23, 33444.72, 33782.92, 33310.56, 33733.96
01/23/23, 33439.56, 33782.88, 33316.25, 33629.56
01/20/23, 33073.46, 33381.95, 32948.93, 33375.49
01/19/23, 33171.35, 33227.49, 32982.05, 33044.56
01/18/23, 33948.49, 34016.53, 33269.90, 33296.96
01/17/23, 34222.32, 34269.97, 33860.67, 33910.85
01/13/23, 34075.31, 34342.32, 33915.49, 34302.61
01/12/23, 34047.86, 34292.67, 33792.10, 34189.97
01/11/23, 33754.03, 33974.69, 33711.04, 33973.01
01/10/23, 33516.43, 33726.54, 33421.80, 33704.10
01/09/23, 33664.39, 33935.11, 33487.66, 33517.65
01/06/23, 33055.30, 33710.66, 32997.39, 33630.61
01/05/23, 33191.72, 33191.72, 32812.33, 32930.08
01/04/23, 33165.14, 33409.10, 33033.48, 33269.77
01/03/23, 33148.90, 33387.52, 32850.57, 33136.37
12/30/22, 33121.61, 33152.55, 32847.82, 33147.25
12/29/22, 33021.43, 33293.42, 33020.35, 33220.80
12/28/22, 33264.76, 33379.55, 32869.15, 32875.71
12/27/22, 33224.23, 33387.72, 33069.58, 33241.56
12/23/22, 32961.06, 33226.14, 32814.02, 33203.93
12/22/22, 33233.35, 33233.35, 32573.43, 33027.49
12/21/22, 33028.09, 33437.84, 33028.09, 33376.48
12/20/22, 32735.24, 32992.23, 32649.45, 32849.74
12/19/22, 32921.45, 33038.94, 32581.97, 32757.54
